"id" "grade" "race" "gender"
1 10 "white" "female"
2 10 "black" "female"
3 10 "black" "female"
4 10 "black" "female"
5 10 "black" "female"
6 10 "white" "male"
7 10 "white" "female"
8 11 "black" "male"
9 10 "white" "male"
10 10 "black" "female"
11 10 "white" "female"
12 16 "black" "male"
13 10 "white" "female"
14 10 "white" "female"
15 10 "white" "male"
16 11 "white" "female"
17 10 "black" "female"
18 11 "black" "male"
