"ids" "gender" "prestige" "research_type" "subject"
168 NA "low prestige" "quantitative" 21
169 0 "low prestige" "quantitative" 1
170 NA "low prestige" "quantitative" 3
171 NA "low prestige" "qualitative" 19
172 NA "low prestige" "quantitative" 21
173 1 "low prestige" "quantitative" 6
174 NA "low prestige" "quantitative" 21
175 0 "low prestige" "qualitative" 6
176 0 "low prestige" "quantitative" 1
177 1 "low prestige" "quantitative" 21
178 NA "low prestige" "qualitative" 1
179 0 "low prestige" "quantitative" 4
180 1 "low prestige" "quantitative" 7
181 NA "low prestige" "quantitative" 7
182 NA "low prestige" "quantitative" 7
183 NA "low prestige" "qualitative" 7
184 1 "low prestige" "mixed" 3
185 0 "low prestige" "quantitative" 19
186 NA "low prestige" "quantitative" 21
187 NA "low prestige" "qualitative" 1
188 NA "low prestige" "quantitative" 21
189 0 "low prestige" "quantitative" 29
190 1 "high prestige" "qualitative" 29
191 NA "low prestige" "quantitative" 20
192 0 "low prestige" "qualitative" 14
193 0 "low prestige" "quantitative" 21
194 NA "low prestige" "quantitative" 19
195 0 "low prestige" "qualitative" 20
196 1 "low prestige" "qualitative" 13
197 NA "low prestige" "quantitative" 21
198 0 "low prestige" "qualitative" 5
199 NA "low prestige" "quantitative" 21
200 1 "low prestige" "quantitative" 21
201 1 "low prestige" "quantitative" 21
202 1 "low prestige" "quantitative" 21
203 NA "low prestige" "quantitative" 21
204 0 "low prestige" "quantitative" 20
205 1 "low prestige" "quantitative" 19
206 1 "low prestige" "quantitative" 21
207 1 "low prestige" "qualitative" 2
208 1 "high prestige" "quantitative" 19
209 1 "low prestige" "quantitative" 21
210 NA "low prestige" "quantitative" 19
211 1 "low prestige" "qualitative" 14
212 1 "low prestige" "quantitative" 20
213 1 "low prestige" "quantitative" 20
214 1 "low prestige" "quantitative" 7
215 1 "low prestige" "quantitative" 6
216 NA "low prestige" "qualitative" 24
217 NA "low prestige" "qualitative" 24
218 1 "low prestige" "qualitative" 2
219 0 "low prestige" "quantitative" 21
220 1 "low prestige" "quantitative" 3
221 1 "low prestige" "quantitative" 2
222 1 "high prestige" "quantitative" 20
223 NA "low prestige" "quantitative" 20
224 NA "low prestige" "quantitative" 19
225 0 "low prestige" "qualitative" 29
226 0 "low prestige" "qualitative" 26
227 1 "low prestige" "qualitative" 2
228 0 "low prestige" "qualitative" 21
229 0 "low prestige" "quantitative" 19
230 NA "low prestige" "qualitative" 4
231 0 "low prestige" "qualitative" 8
232 NA "low prestige" "quantitative" 24
233 1 "low prestige" "quantitative" 18
234 0 "low prestige" "quantitative" 21
235 NA "low prestige" "quantitative" 18
236 NA "low prestige" "quantitative" 8
237 0 "low prestige" "quantitative" 21
238 NA "low prestige" "qualitative" 26
239 NA "low prestige" "quantitative" 21
240 1 "low prestige" "quantitative" 28
241 NA "high prestige" "mixed" 19
242 NA "low prestige" "quantitative" 7
243 0 "low prestige" "mixed" 21
244 0 "low prestige" "qualitative" 21
245 1 "low prestige" "quantitative" 12
246 1 "low prestige" "mixed" 24
247 0 "low prestige" "qualitative" 21
248 NA "low prestige" "mixed" 21
249 0 "low prestige" "qualitative" 21
250 1 "low prestige" "quantitative" 28
251 1 "low prestige" "quantitative" 6
252 0 "low prestige" "qualitative" 21
253 NA "low prestige" "quantitative" 24
254 1 "low prestige" "quantitative" 29
255 0 "low prestige" "quantitative" 19
256 NA "low prestige" "quantitative" 29
257 NA "low prestige" "quantitative" 7
258 1 "low prestige" "quantitative" 20
259 1 "low prestige" "quantitative" 19
260 1 "low prestige" "quantitative" 21
261 0 "low prestige" "quantitative" 21
262 1 "low prestige" "quantitative" 9
263 1 "low prestige" "quantitative" 21
