"CASEID","ALTER1","ALTER2","WEIGHT"
19850089,3,4,1
19850089,3,5,2
19850089,4,5,1
19850091,1,2,1
19850091,1,3,1
19850091,1,4,1
19850091,2,3,1
19850091,2,4,1
19850092,1,2,2
19850093,1,2,1
19850093,1,3,1
19850093,1,4,1
19850093,2,3,1
19850093,2,4,1
19850093,3,4,1
19850100,1,2,1
19850100,1,3,2
19850100,1,4,1
19850100,2,3,2
19850100,2,4,1
19850100,2,5,1
19850100,3,4,1
19850100,3,5,1
19850100,4,5,2
19850101,1,2,2
19850101,1,3,1
19850101,1,4,1
19850101,3,4,1
19850102,1,2,2
19850102,1,3,1
19850102,1,4,1
19850102,2,3,1
19850102,2,4,1
19850102,3,4,1
19850103,1,2,1
19850103,1,3,1
19850103,1,4,1
19850103,2,3,2
19850103,2,4,2
19850103,3,4,2
19850104,1,2,2
19850104,1,3,1
19850104,1,4,2
19850104,2,3,1
19850104,2,4,2
19850104,3,4,2
19850105,1,2,2
19850105,1,3,2
19850105,1,4,2
19850105,1,5,2
19850105,2,3,2
19850105,2,4,2
19850105,2,5,2
19850105,3,4,2
19850105,3,5,2
19850105,4,5,2
19850106,1,2,1
19850106,1,5,1
19850106,2,5,1
19850106,3,5,1
19850107,1,2,1
19850107,1,3,1
19850107,2,3,2
19850108,1,2,2
19850108,1,3,2
19850108,1,4,1
19850108,2,3,2
19850108,2,4,1
19850108,3,4,2
19850109,1,2,1
19850109,1,5,1
19850109,2,3,1
19850109,2,5,2
19850109,3,5,1
19850110,1,2,2
19850110,1,3,2
19850110,2,3,2
19850111,1,3,2
19850111,2,3,2
19850112,1,2,2
19850112,1,3,2
19850112,2,3,2
19850113,1,2,2
19850113,1,3,1
19850114,1,2,1
19850114,2,3,1
19850115,1,2,2
19850116,1,3,1
19850116,1,4,1
19850116,2,4,1
19850117,1,2,2
19850117,1,3,2
19850117,1,4,1
19850117,2,3,2
19850118,1,2,1
19850118,1,3,2
19850118,2,3,1
19850119,1,2,1
19850119,1,3,1
19850119,1,4,1
19850119,2,3,1
19850119,2,4,1
19850119,3,4,2
19850120,1,3,2
19850120,2,3,2
19850123,1,2,2
19850123,1,3,2
19850123,1,4,2
19850123,1,5,2
19850123,2,3,2
19850123,2,4,2
19850123,2,5,2
19850123,3,4,2
19850123,3,5,2
19850123,4,5,2
19850124,1,2,1
19850126,1,2,1
19850127,1,2,2
19850128,1,2,2
19850128,1,3,2
19850128,1,4,2
19850128,3,4,2
19850129,1,2,1
19850129,1,3,2
19850129,2,3,1
19850130,1,2,2
19850130,1,3,2
19850130,1,4,2
19850130,1,5,1
19850130,2,3,2
19850130,2,4,2
19850130,2,5,1
19850130,3,4,1
19850130,3,5,1
19850131,1,2,1
19850131,1,3,2
19850131,1,4,1
19850131,1,5,1
19850131,3,4,1
19850131,3,5,1
19850131,4,5,2
19850132,1,2,1
19850132,1,3,1
19850132,1,4,2
19850132,1,5,2
19850132,2,3,1
19850132,2,4,1
19850132,2,5,1
19850132,3,4,1
19850132,3,5,1
19850132,4,5,2
19850133,1,2,1
19850133,1,3,1
19850133,2,3,1
19850134,1,2,1
19850134,1,3,1
19850134,2,3,1
19850135,1,2,1
19850135,1,3,1
19850135,1,4,2
19850135,1,5,1
19850135,2,3,1
19850135,2,4,1
19850135,3,4,2
19850135,3,5,1
19850135,4,5,2
19850136,1,2,2
19850136,1,3,2
19850136,1,4,2
19850136,1,5,1
19850136,2,3,2
19850136,2,4,2
19850136,2,5,1
19850136,3,4,2
19850136,3,5,1
19850136,4,5,1
19850137,1,2,1
19850137,1,3,2
19850137,1,4,1
19850137,2,3,1
19850138,1,2,2
19850138,1,3,1
