"sender" "receiver"
113214 122706
113214 129483
113214 141006
113214 149552
113214 125522
115909 141006
115909 127761
115909 113214
115909 127535
121470 122723
121470 113214
121470 122728
121470 144882
122706 122726
122706 129483
122706 151812
122706 122710
122706 122723
122710 151812
122710 129483
122710 122723
122710 115909
122710 122706
122714 127761
122714 122734
122723 141006
122723 113214
122723 125522
122723 122732
122723 121470
122724 122710
122724 122723
122724 125522
122726 122734
122726 122710
122726 122714
122726 128033
122726 151812
122728 115909
122728 122723
122728 127535
122728 122732
122728 121470
122732 128033
122732 122706
122732 122724
122732 151812
122732 113214
122734 139163
122734 125522
122734 122714
122734 127761
122734 122726
125522 128033
125522 122724
125522 127761
125522 129483
125522 141006
126359 122732
126359 138473
126359 121470
126359 151812
126359 144882
127761 122710
127761 141006
127761 129483
127761 139163
127761 113214
128033 122714
128033 125522
128033 122726
128033 140271
129483 128033
129483 144882
129483 122734
129483 115909
129483 141006
138473 122710
138473 129483
138473 113214
138473 127535
138473 139163
139163 122710
139163 126359
139163 141006
139163 138473
139163 122706
140271 128033
140271 144882
140271 127761
140271 151812
140271 122724
141006 122734
141006 122723
141006 139163
141006 122710
141006 122726
144882 115909
144882 122732
144882 121470
144882 141006
144882 151812
149552 122706
149552 113214
149552 127535
149552 139163
151812 126359
151812 141006
151812 122723
151812 127761
151812 122710
